OBJECTID,Station_Name,Street_Address,City,State,ZIP,Station_Phone,Groups_With_Access_Code,Access_Days_Time,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,Charging_Outlets,EV_Network,Geocode_Status,Latitude,Longitude,Date_Last_Confirmed,ID,Open_Date,EV_Connector_Types,Facility_Type,EV_Pricing
41,Wilkerson Nature Preserve Park,11408 Raven Ridge Rd,Raleigh,NC,27614,919-996-3030,Public,24 hours daily,,2,,2,Non-Networked,200-9,35.92353,-78.599883,2019-11-08 0:00:00,41553,2011-05-25 0:00:00,J1772,PARK,Free
42,CLT AIRPORT,5601 Wilkinson Blvd,Charlotte,NC,28208,888-758-4389,Public,24 hours daily,2,12,,14,ChargePoint Network,200-9,35.232643,-80.933936,2020-06-17 0:00:00,41847,,J1772 NEMA520,,Free
43,City Municipal Deck,201 W Morgan St,Raleigh,NC,27601,919-996-3030,Public,24 hours daily; pay garage,,2,,2,Non-Networked,200-8,35.779082,-78.641779,2019-11-08 0:00:00,42396,2011-11-14 0:00:00,J1772,MUNI_GOV,Free
44,City of Raleigh,231 Fayetteville St,Raleigh,NC,27601,919-996-3030,Public,24 hours daily; metered parking,,1,,1,Non-Networked,200-8,35.777283,-78.639281,2019-11-08 0:00:00,42397,2011-11-14 0:00:00,J1772,STREET_PARKING,Free
45,City of Raleigh - Walnut Creek Wetland Center,950 Peterson St,Raleigh,NC,27610,919-996-3030,Public,24 hours daily,,2,,2,Non-Networked,200-9,35.760404,-78.625005,2019-11-08 0:00:00,42398,2011-11-14 0:00:00,J1772,PARK,Free
46,City of Raleigh - Optimist Park and Community Center,5910 Whittier Dr,Raleigh,NC,27609,919-996-3030,Public,24 hours daily,,2,,2,Non-Networked,200-8,35.862603,-78.643641,2019-11-08 0:00:00,42399,2011-11-14 0:00:00,J1772,REC_SPORTS_FACILITY,Free
47,City of Raleigh - Jaycee Park and Community Center,2401 Wade Ave,Raleigh,NC,27607,919-996-3030,Public,24 hours daily,,2,,2,Non-Networked,200-8,35.800443,-78.663445,2019-11-08 0:00:00,42400,2011-11-14 0:00:00,J1772,REC_SPORTS_FACILITY,Free
48,City of Raleigh - Wilders Grove,630 Beacon Lake Dr,Raleigh,NC,27610,919-996-3030,Public,24 hours daily,,2,,2,Non-Networked,200-8,35.788789,-78.573106,2019-11-08 0:00:00,42401,2011-11-14 0:00:00,J1772,MUNI_GOV,Free
49,City of Raleigh - Transit Center,808 Bus Way,Raleigh,NC,27610,919-996-3030,Public,24 hours daily,1,1,,2,Non-Networked,GPS,35.767483,-78.563464,2019-11-08 0:00:00,42403,2011-11-14 0:00:00,J1772 NEMA520,MUNI_GOV,Free
50,The Green Parking Garage,435 S Tryon St,Charlotte,NC,28202,704-944-1830,Public,Garage business hours; pay lot,,6,,6,Non-Networked,200-9,35.223874,-80.846273,2019-10-04 0:00:00,42927,2011-08-08 0:00:00,J1772,PAY_GARAGE,Free
51,North Hills,4291 The Circle At North Hills St,Raleigh,NC,27609,919-881-1146,Public,24 hours daily,,2,,2,Non-Networked,GPS,35.83788,-78.642,2019-10-04 0:00:00,43088,2012-02-01 0:00:00,J1772,SHOPPING_CENTER,Free
52,North Carolina State University - McKimmon Center and Solar House,1201 Gorman Ave,Raleigh,NC,27606,919-515-0314,Public,24 hours daily,,2,,2,Non-Networked,GPS,35.78214,-78.6864,2019-10-04 0:00:00,43324,2012-02-20 0:00:00,J1772,COLLEGE_CAMPUS,Free
53,Taylor Automotive,1007 Hawkins Ave,Sanford,NC,27330,919-774-4037,Public,24 hours daily,,1,,1,Non-Networked,200-9,35.49416,-79.180591,2019-02-06 0:00:00,43363,2012-02-03 0:00:00,J1772,CAR_DEALER,Free
54,City of Columbia - Sumter Street Garage,1400 Sumter St,Columbia,SC,29201,803-545-4015,Public,Garage business hours; pay lot,,2,,2,Non-Networked,200-9,34.004883,-81.032931,2019-07-09 0:00:00,43458,2012-02-01 0:00:00,J1772,PAY_GARAGE,$1 per first and second half-hour parking fee; $1 per each additional hour parking fee
55,City of Columbia - Lady Street Garage,1100 Lady St,Columbia,SC,29201,803-545-4015,Public,Garage business hours; pay lot,,2,,2,Non-Networked,200-8,34.002107,-81.035726,2019-07-09 0:00:00,43459,2012-02-01 0:00:00,J1772,PAY_GARAGE,$1 per first and second half-hour parking fee; $1 per each additional hour parking fee
56,Carolina Nissan,1329 Huffman Mill Rd,Burlington,NC,27215,336-584-0201,Public - Call ahead,Dealership business hours,,2,1,3,Non-Networked,200-9,36.063557,-79.503697,2020-06-09 0:00:00,43876,2011-04-01 0:00:00,CHADEMO J1772,CAR_DEALER,Free
57,North Carolina State University - Joyner Visitor Center,1210 Varsity Dr,Raleigh,NC,27606,919-513-1200,Public,24 hours daily,,2,,2,Non-Networked,200-9,35.784037,-78.684667,2019-10-04 0:00:00,43880,2012-02-01 0:00:00,J1772,COLLEGE_CAMPUS,Free
58,Northern Wake Tech Community College,6600 Louisburg Rd,Raleigh,NC,27616,919-532-5502,Public,24 hours daily; staff and visitor use only,,2,,2,Non-Networked,GPS,35.867552,-78.543695,2019-10-04 0:00:00,44301,2012-02-29 0:00:00,J1772,COLLEGE_CAMPUS,Free
59,Whole Foods Market,8710 Six Forks Rd,Raleigh,NC,27615,919-354-0350,Public,Market business hours,,2,,2,Non-Networked,200-9,35.898899,-78.650239,2020-04-08 0:00:00,44302,2012-01-01 0:00:00,J1772,GROCERY,Free
60,Asheville Chamber of Commerce & Visitors Center,36 Montford Ave,Asheville,NC,28801,828-258-6101  828-258-6129,Public,24 hours daily,,2,,2,Non-Networked,GPS,35.597527,-82.560582,2019-10-04 0:00:00,44376,2012-02-29 0:00:00,J1772,MUNI_GOV,Free
61,College Street Parking Deck,164 College St,Asheville,NC,28801,828-259-5792,Public - Call ahead,24 hours daily,,2,,2,Non-Networked,200-9,35.597377,-82.549206,2019-10-04 0:00:00,44377,2012-02-29 0:00:00,J1772,PAY_GARAGE,$2 for first hour; $1 per each hour thereafter
62,Ingles Markets - Skyland Plaza,1865 Hendersonville Rd,Asheville,NC,28803,828-274-0804,Public,24 hours daily,,2,,2,Non-Networked,GPS,35.499836,-82.522586,2019-10-04 0:00:00,44378,2012-02-29 0:00:00,J1772,GROCERY,Free
63,FAYETTEVILLE NC,208 Franklin St,Fayetteville,NC,28301,888-758-4389,Public,24 hours daily,3,3,,6,ChargePoint Network,200-9,35.052493,-78.880384,2020-06-17 0:00:00,44944,,J1772 NEMA520,,Free
64,City of Charleston - Gaillard Auditorium,32 Alexander St,Charleston,SC,29401,843-724-5212,Public,Garage business hours; pay lot,,4,,4,Non-Networked,200-8,32.787311,-79.930037,2019-07-09 0:00:00,45770,2017-05-01 0:00:00,J1772,PAY_GARAGE,$1 per half hour parking fee; maximum payment of $16
65,City of Charleston - Queen Street Garage,93 Queen St,Charleston,SC,29401,843-805-3232,Public,Garage business hours; pay lot,,2,,2,Non-Networked,200-9,32.777245,-79.933619,2019-07-09 0:00:00,45771,2012-02-01 0:00:00,J1772,PAY_GARAGE,"$1 per half hour parking fee, Maximum payment of $16"
66,City of Charleston - Visitor Center Garage,63 Mary St,Charleston,SC,29403,843-805-3232,Public,Garage business hours; pay lot,,2,,2,Non-Networked,GPS,32.790806,-79.938,2019-07-09 0:00:00,45772,2012-02-01 0:00:00,J1772,PAY_GARAGE,"$1 per half hour parking fee, Maximum payment of $16"
67,Coastal Carolina University,150 Township Cir,Conway,SC,29526,843-347-3161  843-349-5041,Public,24 hours daily; parking permit required,,2,,2,Non-Networked,GPS,33.799792,-79.01138,2019-07-09 0:00:00,45773,2012-02-01 0:00:00,J1772,COLLEGE_CAMPUS,Free
68,Horry County Library,801 Main St,Conway,SC,29526,843-915-7323,Public,24 hours daily,,2,,2,Non-Networked,200-9,33.841727,-79.051177,2019-07-09 0:00:00,45774,2012-02-01 0:00:00,J1772,LIBRARY,Free
69,Horry Georgetown Technical College - Speir Building,3500 Pampas Dr,Myrtle Beach,SC,29577,843-347-3186,Public,24 hours daily; visitor pass required,,1,,1,Non-Networked,200-8,33.661672,-78.937739,2019-07-09 0:00:00,45777,2012-02-01 0:00:00,J1772,COLLEGE_CAMPUS,Free
70,North Myrtle Beach - Beach Access,6th Ave S,North Myrtle Beach,SC,29582,843-280-5555,Public,24 hours daily,,1,,1,Non-Networked,GPS,33.815872,-78.67989,2019-07-09 0:00:00,45778,2012-02-01 0:00:00,J1772,PARKING_LOT,Free
71,City of Rock Hill - YMCA,998 Riverwalk Pkwy,Rock Hill,SC,29730,803-325-2505,Public,24 hours daily,,2,,2,Non-Networked,GPS,34.977,-80.9771,2019-07-09 0:00:00,45779,2012-02-01 0:00:00,J1772,PARKING_LOT,Free
72,City of Rock Hill - City Hall,155 Johnson St,Rock Hill,SC,29730,803-329-7000,Public,24 hours daily,,2,,2,Non-Networked,GPS,34.924189,-81.02889,2019-07-09 0:00:00,45780,2012-02-01 0:00:00,J1772,MUNI_GOV,
73,City of Spartanburg - Municipal Parking Garage,160 E Kennedy,Spartanburg,SC,29306,864-596-2026,Public,24 hours daily; pay lot,,2,,2,Non-Networked,200-8,34.948192,-81.927953,2019-12-12 0:00:00,45782,2012-02-01 0:00:00,J1772,PARKING_GARAGE,Free
74,City of Spartanburg - Municipal Parking Garage,111 Magnolia St,Spartanburg,SC,29306,864-596-2026,Public,24 hours daily; pay lot,,2,,2,Non-Networked,200-8,34.949604,-81.933288,2019-12-12 0:00:00,45784,2012-02-01 0:00:00,J1772,PARKING_GARAGE,Free
75,City of Spartanburg - Administration Building,366 N Church St,Spartanburg,SC,29303,864-596-2026,Public,24 hours daily,,2,,2,Non-Networked,200-9,34.955945,-81.93733,2019-12-12 0:00:00,45785,2012-02-01 0:00:00,J1772,MUNI_GOV,Free
76,Spartanburg Marriott,299 N Church St,Spartanburg,SC,29306,864-596-1211,Public,24 hours daily,,2,,2,Non-Networked,GPS,34.954092,-81.933172,2020-06-09 0:00:00,45786,2012-02-01 0:00:00,J1772,HOTEL,Free
77,University of South Carolina - Union,310 E Academy St,Union,SC,29379,803-777-0169,Public,24 hours daily,,2,,2,Non-Networked,200-9,34.716959,-81.621094,2019-12-12 0:00:00,45790,2012-02-01 0:00:00,J1772,COLLEGE_CAMPUS,Free
78,City of Conway - Public Parking Lot,400 Laurel St,Conway,SC,29526,843-248-1730  843-248-1760,Public,24 hours daily,,2,,2,Non-Networked,200-8,33.836216,-79.048195,2019-07-09 0:00:00,45791,2012-02-01 0:00:00,J1772,PARKING_LOT,Free
79,City of Rock Hill - York County Airport,550 Airport Rd,Rock Hill,SC,29732,803-329-5560,Public,24 hours daily,,1,,1,Non-Networked,200-9,34.987457,-81.060145,2019-07-09 0:00:00,45796,2012-02-01 0:00:00,J1772,AIRPORT,
80,TOWN OF CARY,400 James Jackson Ave,Cary,NC,27513,888-758-4389,Public,24 hours daily,,1,,1,ChargePoint Network,GPS,35.7968864,-78.8080444,2020-06-17 0:00:00,45853,,J1772,,Free
81,"CHARLOTTE, NC",232 S Davidson St,Charlotte,NC,28202,888-758-4389,Public,24 hours daily,,9,,9,ChargePoint Network,200-8,35.222219,-80.839351,2020-06-17 0:00:00,45854,,J1772,,Free
82,"CHARLOTTE, NC",101 N Tryon St,Charlotte,NC,28202,888-758-4389,Public,24 hours daily,,1,,1,ChargePoint Network,GPS,35.2274543,-80.842849,2020-06-17 0:00:00,45856,,J1772,,Free
83,"CHARLOTTE, NC",1712 J N Pease Pl,Charlotte,NC,28262,888-758-4389,Public,24 hours daily,,4,,4,ChargePoint Network,200-9,35.324191,-80.773292,2020-06-17 0:00:00,45858,,J1772,,Free
84,BECO South,8505 IBM Dr,Charlotte,NC,28262,704-808-4200,Public,24 hours daily; for employee and guest use only,,1,,1,Non-Networked,GPS,35.30894179,-80.76768107,2019-10-04 0:00:00,46403,2012-02-15 0:00:00,J1772,OFFICE_BLDG,Free
85,City of Durham - Goldenbelt,807 E Main St,Durham,NC,27701,919-560-7999,Public,24 hours daily,,2,,2,Non-Networked,GPS,35.99017,-78.8902,2019-10-04 0:00:00,46406,2012-02-04 0:00:00,J1772,MUNI_GOV,Free
86,Michael Jordan Nissan,3930 Chapel Hill Blvd,Durham,NC,27707,919-489-3800,Public - Call ahead,Dealership business hours,,2,1,3,Non-Networked,GPS,35.97051751,-78.95684759,2020-06-09 0:00:00,46407,2011-08-01 0:00:00,CHADEMO J1772,CAR_DEALER,Free
87,Dick Smith Nissan,9940 Two Notch Rd,Columbia,SC,29223,803-256-6600,Public - Call ahead,Dealership business hours,,3,,3,Non-Networked,200-8,34.111189,-80.896093,2020-06-09 0:00:00,46456,2012-01-31 0:00:00,J1772,CAR_DEALER,Free
88,Friendship Nissan,156 Oak St Extension,Forest City,NC,28043,888-667-0284,Public - Call ahead,Dealership business hours,,1,,1,Non-Networked,GPS,35.334675,-81.892822,2020-06-09 0:00:00,46996,2012-01-31 0:00:00,J1772,CAR_DEALER,Free
89,Gastonia Nissan,2755 E Franklin Blvd,Gastonia,NC,28054,,Public - Call ahead,Dealership business hours; 704-867-0000,,1,1,2,Non-Networked,GPS,35.261109,-81.139708,2020-06-09 0:00:00,46998,2012-01-31 0:00:00,CHADEMO J1772,CAR_DEALER,Free
90,Deacon Jones Nissan,1220 W Grantham St,Goldsboro,NC,27530,919-734-2411,Public - Call ahead,Dealership business hours,,2,,2,Non-Networked,200-9,35.400146,-78.014743,2020-06-09 0:00:00,47000,2012-01-31 0:00:00,J1772,CAR_DEALER,Free
91,Crown Nissan,3900 W Wendover Ave,Greensboro,NC,27407,,Public - Call ahead,Dealership business hours; contact 336-292-9191 for more information,,1,1,2,Non-Networked,GPS,36.060613,-79.876505,2020-06-09 0:00:00,47003,2012-01-31 0:00:00,CHADEMO J1772,CAR_DEALER,Free
92,Greenville Nissan,991 Greenville Blvd SW,Greenville,NC,27834,252-756-1738,Public - Call ahead,Dealership business hours,,1,1,2,Non-Networked,200-9,35.571982,-77.408327,2020-06-09 0:00:00,47005,2012-01-31 0:00:00,CHADEMO J1772,CAR_DEALER,Free
93,City of Hendersonville - Dogwood Parking Lot,411 N Church St,Hendersonville,NC,28792,828-697-3000,Public,24 hours daily; pay lot,,2,,2,Non-Networked,200-8,35.316931,-82.461565,2019-10-04 0:00:00,47007,2011-12-01 0:00:00,J1772,PAY_LOT,Free
94,Hunter Nissan,1340 Spartanburg Hwy,Hendersonville,NC,28792,828-697-2222,Public - Call ahead,Dealership business hours,,1,,1,Non-Networked,200-9,35.301937,-82.440374,2020-06-09 0:00:00,47008,2012-01-31 0:00:00,J1772,CAR_DEALER,Free
95,Modern Nissan - Hickory,840 US Highway 70 SE,Hickory,NC,28602,828-324-5040,Public - Call ahead,Dealership business hours,,2,1,3,Non-Networked,GPS,35.710136,-81.321182,2020-06-09 0:00:00,47010,2012-01-31 0:00:00,CHADEMO J1772,CAR_DEALER,Free
96,Don Williamson Nissan,310 Western Blvd,Jacksonville,NC,28546,910-353-7700,Public - Call ahead,Dealership business hours,,1,,1,Non-Networked,200-9,34.761337,-77.381386,2020-06-09 0:00:00,47013,2012-01-31 0:00:00,J1772,CAR_DEALER,Free
97,Montreat College,310 Appalachian Way,Montreat,NC,28757,828-669-8012,Public,24 hours daily,,1,,1,Non-Networked,GPS,35.64569,-82.296916,2019-10-04 0:00:00,47017,2017-07-06 0:00:00,J1772,COLLEGE_CAMPUS,Free
98,Eastern Carolina Nissan,3315 Highway 70 E,New Bern,NC,28560,252-636-1000,Public - Call ahead,Dealership business hours,,1,,1,Non-Networked,200-9,35.048239,-77.014397,2020-06-09 0:00:00,47018,2012-01-31 0:00:00,J1772,CAR_DEALER,Free
99,Reidsville Nissan,1123 Freeway Dr,Reidsville,NC,27320,336-342-5741,Public - Call ahead,Dealership business hours,,1,,1,Non-Networked,200-9,36.323241,-79.686657,2020-06-09 0:00:00,47024,2012-01-31 0:00:00,J1772,CAR_DEALER,Free
100,Nissan of Roanoke Rapids,407 Premier Blvd,Roanoke Rapids,NC,27870,252-537-1041,Public - Call ahead,Dealership business hours,,1,,1,Non-Networked,200-9,36.42331,-77.635287,2020-06-09 0:00:00,47026,2012-01-31 0:00:00,J1772,CAR_DEALER,Free
101,Griffin Nissan,1780 E Broad Ave,Rockingham,NC,28379,910-997-5516,Public - Call ahead,Dealership business hours,,1,,1,Non-Networked,200-9,34.918104,-79.744733,2020-06-09 0:00:00,47028,2012-01-31 0:00:00,J1772,CAR_DEALER,Free
